store_nbr	family	sales	cum_revenue	cum_pct	ABC_class	XYZ_class	Segment
24	GROCERY I	6242442	263287362	0.36564183389894384	A	X	AX
7	GROCERY I	6173103.996	269460466	0.3742147674744784	A	X	AX
28	GROCERY I	6151936.283	275612402.3	0.3827583042671931	A	X	AX
11	BEVERAGES	6076165	281688567.3	0.3911966132561136	A	X	AX
37	GROCERY I	6042224	287730791.3	0.3995877864866416	A	X	AX
7	PRODUCE	5576834.202	293307625.5	0.407332647	A	Y	AY
4	GROCERY I	5559207.59	298866833.09929997	0.4150530283874834	A	X	AX
7	BEVERAGES	5544239	304411072.09929997	0.42275262209345155	A	X	AX
43	GROCERY I	5503179.469	309914251.56829995	0.430395194	A	X	AX
36	GROCERY I	5377028.863	315291280.4312999	0.4378625738095822	A	X	AX
27	GROCERY I	5302707	320593987.4312999	0.4452267385654293	A	X	AX
5	GROCERY I	5177911.658	325771899.0892999	0.45241759307440627	A	X	AX
8	PRODUCE	5152226.4131000005	330924125.5023999	0.4595727770522303	A	Y	AY
33	GROCERY I	5098972.938	336023098.44039994	0.466654005	A	X	AX
19	GROCERY I	5036694.647	341059793.08739996	0.47364874353622416	A	X	AX
6	BEVERAGES	5022192	346081985.08739996	0.48062334147714325	A	Y	AY
43	BEVERAGES	4980377	351062362.08739996	0.4875398685970146	A	X	AX
41	GROCERY I	4847476	355909838.08739996	0.49427182869098446	A	X	AX
20	GROCERY I	4785023.904	360694861.99139994	0.5009170580784884	A	Z	AZ
24	BEVERAGES	4698086	365392947.99139994	0.5074415519532468	A	X	AX
9	BEVERAGES	4586341	369979288.99139994	0.5138108593184277	A	Y	AY
13	GROCERY I	4520453.779	374499742.7703999	0.5200886654275995	A	X	AX
15	GROCERY I	4519378.108	379019120.8783999	0.5263649776925012	A	X	AX
14	GROCERY I	4396532.511	383415653.3893999	0.5324706874300829	A	X	AX
16	GROCERY I	4240835.248	387656488.6373999	0.5383601717007913	A	X	AX
44	DAIRY	4233097	391889585.6373999	0.544238909	A	X	AX
44	CLEANING	4230783	396120368.6373999	0.5501144335888646	A	X	AX
45	CLEANING	4154245	400274613.6373999	0.5558836651560913	A	X	AX
12	GROCERY I	4152019.908	404426633.5453999	0.5616498066140427	A	X	AX
2	BEVERAGES	4117945	408544578.5453999	0.5673686263480987	A	X	AX
18	GROCERY I	4086950.337	412631528.8823999	0.5730444020661675	A	X	AX
10	GROCERY I	4074926.174	416706455.05639994	0.5787034791589146	A	X	AX
27	BEVERAGES	4020200	420726655.05639994	0.5842865549636793	A	Y	AY
17	BEVERAGES	4013291	424739946.05639994	0.5898600358550729	A	Y	AY
40	BEVERAGES	3867455	428607401.05639994	0.595230986	A	Y	AY
47	CLEANING	3849702	432457103.05639994	0.6005772818946407	A	X	AX
24	PRODUCE	3815978.363	436273081.4197999	0.605876744	A	Y	AY
46	CLEANING	3806425	440079506.4197999	0.6111629382779937	A	X	AX
39	BEVERAGES	3803772	443883278.4197999	0.6164454484566021	A	Y	AY
28	BEVERAGES	3761613	447644891.4197999	0.62166941	A	Y	AY
34	BEVERAGES	3751643	451396534.4197999	0.6268795258131026	A	X	AX
1	GROCERY I	3691922	455088456.4197999	0.6320067036627814	A	X	AX
4	BEVERAGES	3635271	458723727.4197999	0.6370552071113319	A	Y	AY
48	CLEANING	3549629	462273356.4197999	0.6419847747412487	A	X	AX
45	DAIRY	3519780	465793136.4197999	0.6468728894012394	A	X	AX
37	BEVERAGES	3492794	469285930.4197999	0.6517235270989727	A	X	AX
3	CLEANING	3416384	472702314.4197999	0.6564680499710153	A	X	AX
3	DAIRY	3402542	476104856.4197999	0.6611933496861776	A	X	AX
47	DAIRY	3308380	479413236.4197999	0.6657878813838463	A	X	AX
36	BEVERAGES	3304180	482717416.4197999	0.6703765803074291	A	Y	AY
23	GROCERY I	3288664	486006080.4197999	0.6749437312970318	A	X	AX
19	BEVERAGES	3269524	489275604.4197999	0.6794843015018718	A	X	AX
11	CLEANING	3222868	492498472.4197999	0.6839600779191521	A	X	AX
46	PRODUCE	3169416.406	495667888.82539994	0.688361623	A	Y	AY
21	GROCERY I	3162815.933	498830704.75839996	0.6927540018930307	A	Z	AZ
29	GROCERY I	3096933.145	501927637.90339994	0.6970548855582273	A	Z	AZ
37	PRODUCE	3076676.302	505004314.20549995	0.701327637	B	Y	BY
38	BEVERAGES	3050972	508055286.20549995	0.7055646922781821	B	Y	BY
31	BEVERAGES	3025886	511081172.20549995	0.7097669088133237	B	Y	BY
25	BEVERAGES	2930043	514011215.20549995	0.7138360228325815	B	Y	BY
35	GROCERY I	2893386.873	516904602.1	0.7178542304452551	B	Y	BY
6	PRODUCE	2893383.701	519797985.8	0.721872434	B	Y	BY
9	CLEANING	2857700	522655685.8	0.7258410809153801	B	X	BX
25	GROCERY I	2799779	525455464.8	0.72972929	B	Y	BY
2	PRODUCE	2781594.171	528237059	0.7335922449146955	B	Y	BY
27	PRODUCE	2770158.573	531007217.5	0.7374393185190631	B	Y	BY
20	BEVERAGES	2760887	533768104.5	0.7412735161732568	B	Z	BZ
18	BEVERAGES	2746394	536514498.5	0.7450875865905869	B	Y	BY
26	GROCERY I	2675757	539190255.5234001	0.7488035594690832	B	Y	BY
1	BEVERAGES	2645881	541836136.5234001	0.7524780418812483	B	X	BX
4	PRODUCE	2639588.206	544475724.7	0.7561437851397975	B	Y	BY
30	GROCERY I	2585630.648	547061355.4	0.7597345945301032	B	X	BX
41	BEVERAGES	2541977	549603332.4	0.7632647796664069	B	Y	BY
5	BEVERAGES	2512207	552115539.4	0.7667536215444878	B	X	BX
32	GROCERY I	2446109.577	554561648.9545001	0.7701506702473265	B	Y	BY
1	PRODUCE	2443329.968	557004978.9	0.7735438587515316	B	Y	BY
38	PRODUCE	2405445.821	559410424.7	0.7768844354297518	B	Y	BY
46	DAIRY	2385039	561795463.7	0.7801966720185584	B	X	BX
8	DAIRY	2349532	564144995.7	0.7834595980574919	B	X	BX
42	GROCERY I	2337305.571	566482301.3	0.7867055445730363	B	Z	BZ
40	CLEANING	2301945	568784246.3	0.7899023838928212	B	X	BX
33	BEVERAGES	2268683	571052929.3	0.7930530304193575	B	Y	BY
29	BEVERAGES	2196979	573249908.3	0.7961040976046906	B	Z	BZ
12	BEVERAGES	2163308	575413216.3	0.7991084039956796	B	X	BX
13	BEVERAGES	2152390	577565606.3	0.8020975479515569	B	X	BX
39	CLEANING	2146388	579711994.3	0.8050783565955142	B	X	BX
8	CLEANING	2087336	581799330.3	0.8079771564358242	B	X	BX
31	CLEANING	2075152	583874482.3	0.8108590356762623	B	X	BX
15	BEVERAGES	2064013	585938495.3	0.8137254455665712	B	X	BX
6	CLEANING	2046535	587985030.3	0.8165675827841484	B	X	BX
7	DAIRY	2044684	590029714.3	0.8194071494148608	B	X	BX
21	BEVERAGES	1963792	591993506.3	0.8221343768166792	B	Z	BZ
23	BEVERAGES	1960748	593954254.3	0.8248573768460412	B	X	BX
41	PRODUCE	1951708.296	595905962.6	0.827567823	B	Y	BY
42	PRODUCE	1884907.475	597790870.1	0.8301854989999761	B	Z	BZ
42	BEVERAGES	1869230	599660100.1	0.8327814028820069	B	Z	BZ
35	BEVERAGES	1868042	601528142.1	0.8353756569222248	B	Y	BY
24	CLEANING	1832744	603360886.1	0.8379208906625183	B	X	BX
16	BEVERAGES	1814590	605175476.1	0.8404409129312035	B	Y	BY
14	CLEANING	1806549	606982025.1	0.8429497682150257	B	X	BX
39	PRODUCE	1789685.676	608771710.8	0.8454352044613112	B	Y	BY
24	DAIRY	1788484	610560194.8	0.8479189718727854	B	X	BX
38	CLEANING	1772230	612332424.8	0.8503801664485474	B	X	BX
17	CLEANING	1769278	614101702.8	0.8528372614173804	B	X	BX
33	CLEANING	1768225	615869927.8	0.8552928940264247	B	X	BX
7	CLEANING	1742702	617612629.8	0.8577130814228516	B	X	BX
37	CLEANING	1741022	619353651.8	0.860130936	B	X	BX
28	CLEANING	1698571	621052222.8	0.8624898359267414	B	X	BX
43	CLEANING	1684795	622737017.8	0.8648296046448373	B	X	BX
16	CLEANING	1659035	624396052.8	0.8671335990152064	B	Y	BY
5	PRODUCE	1653582.259	626049635	0.8694300208597695	B	Y	BY
5	CLEANING	1636114	627685749	0.8717021835599428	B	X	BX
9	PRODUCE	1632022.493	629317771.5	0.8739686641566812	B	Y	BY
14	BEVERAGES	1608924	630926695.5	0.8762030665884272	B	Y	BY
2	CLEANING	1598928	632525623.5	0.8784235870178488	B	X	BX
6	DAIRY	1597303	634122926.5	0.8806418507192015	B	X	BX
28	PRODUCE	1595405.694	635718332.2	0.88285748	B	Y	BY
22	GROCERY I	1570262.309	637288594.5158501	0.8850381903124134	B	Z	BZ
30	BEVERAGES	1558950	638847544.5158501	0.887203191	B	X	BX
19	CLEANING	1541875	640389419.5158501	0.8893444788135599	B	X	BX
34	CLEANING	1516907	641906326.5158501	0.8914510921088632	B	X	BX
10	BEVERAGES	1494764	643401090.5158501	0.8935269541859324	B	X	BX
37	DAIRY	1474591	644875681.5158501	0.8955748008935648	B	X	BX
18	PRODUCE	1474337.223	646350018.7392901	0.8976222951675442	B	Z	BZ
36	PRODUCE	1470329.935	647820348.6743801	0.8996642242968468	B	Y	BY
4	CLEANING	1463260	649283608.6743801	0.901696335	C	X	CX
25	PRODUCE	1461760.165	650745368.8	0.9037263628258186	C	Z	CZ
15	CLEANING	1446604	652191972.8	0.9057353424267032	C	X	CX
41	CLEANING	1441778	653633750.8	0.9077376198924119	C	X	CX
2	DAIRY	1423474	655057224.8	0.9097144775731519	C	X	CX
36	CLEANING	1371240	656428464.8	0.9116187949868443	C	X	CX
38	DAIRY	1359178	657787642.8	0.9135063612288642	C	X	CX
31	PRODUCE	1357407.508	659145050.3	0.9153914686897019	C	Y	CY
33	PRODUCE	1348705.589	660493755.9	0.9172644913106114	C	Y	CY
23	PRODUCE	1332592.926	661826348.9	0.9191151373785166	C	Y	CY
11	PRODUCE	1329849.378	663156198.2	0.920961973	C	Y	CY
27	DAIRY	1324106	664480304.2	0.9228008331287395	C	X	CX
26	BEVERAGES	1322934	665803238.2	0.9246380653079098	C	Y	CY
4	DAIRY	1316272	667119510.2	0.9264660455963754	C	X	CX
27	CLEANING	1312858	668432368.2	0.9282892846727626	C	X	CX
13	CLEANING	1293924	669726292.2	0.9300862290480684	C	X	CX
10	CLEANING	1288035	671014327.2	0.9318749950408524	C	X	CX
48	DAIRY	1281349	672295676.2	0.9336544758127939	C	Y	CY
12	CLEANING	1279768	673575444.2	0.9354317609619188	C	X	CX
17	PRODUCE	1262602.829	674838047.1	0.9371852078809633	C	Y	CY
9	DAIRY	1247406	676085453.1	0.9389175501170008	C	X	CX
20	CLEANING	1183570	677269023.1	0.9405612397419562	C	Z	CZ
40	PRODUCE	1132660.991	678401684.1	0.9421342291891994	C	Y	CY
28	DAIRY	1073084	679474768.1	0.9436244807480473	C	Y	CY
1	CLEANING	1058843	680533611.1	0.9450949550364768	C	X	CX
1	DAIRY	1042930	681576541.1	0.9465433300548997	C	X	CX
32	BEVERAGES	1006159	682582700.1	0.9479406391362006	C	Y	CY
29	PRODUCE	1000704.369	683583404.4	0.9493303730676973	C	Z	CZ
18	CLEANING	994783	684578187.4	0.9507118836637599	C	Y	CY
31	DAIRY	984537	685562724.4	0.9520791650685646	C	X	CX
21	CLEANING	962212	686524936.4	0.9534154425015914	C	Z	CZ
21	PRODUCE	957781.6962	687482718.1	0.9547455673248093	C	Z	CZ
34	DAIRY	954574	688437292.1	0.9560712374415342	C	X	CX
23	CLEANING	947097	689384389.1	0.9573865238316306	C	X	CX
41	DAIRY	927932	690312321.1	0.9586751947180708	C	X	CX
17	DAIRY	913795	691226116.1	0.9599442327646891	C	Y	CY
5	DAIRY	862246	692088362.1	0.9611416818419378	C	X	CX
39	DAIRY	860840	692949202.1	0.9623371783286235	C	X	CX
11	DAIRY	858503	693807705.1	0.9635294292931571	C	X	CX
22	BEVERAGES	857889	694665594.1	0.9647208275616695	C	Z	CZ
20	PRODUCE	841977.5534	695507571.7	0.9658901287174406	C	Z	CZ
29	CLEANING	834743	696342314.7	0.9670493828457171	C	Z	CZ
36	DAIRY	831442	697173756.7	0.968204053	C	X	CX
43	PRODUCE	825522.5063	697999279.1850101	0.9693505018061421	C	Y	CY
30	CLEANING	797760	698797039.1850101	0.9704583955810809	C	Y	CY
18	DAIRY	789990	699587029.1850101	0.971555499	C	Y	CY
35	CLEANING	788037	700375066.1850101	0.9726498896268909	C	X	CX
34	PRODUCE	785880.6463	701160946.8	0.973741286	C	Y	CY
40	DAIRY	781606	701942552.8	0.974826746	C	X	CX
25	DAIRY	780775	702723327.8	0.9759110514548384	C	Y	CY
23	DAIRY	775084	703498411.8	0.9769874538047365	C	X	CX
25	CLEANING	774635	704273046.8	0.9780632326033096	C	Y	CY
32	CLEANING	747869	705020915.8	0.9791018399658871	C	Y	CY
26	CLEANING	725043	705745958.8	0.9801087475900635	C	X	CX
20	DAIRY	689312	706435270.8	0.9810660335830822	C	Z	CZ
15	PRODUCE	656266.7091	707091537.5404401	0.9819774277388995	C	Y	CY
33	DAIRY	644244	707735781.5404401	0.9828721252884653	C	X	CX
16	PRODUCE	626982.4984	708362764.0388801	0.9837428508287498	C	Y	CY
42	DAIRY	622974	708985738.0388801	0.98460801	C	Z	CZ
42	CLEANING	608431	709594169.0388801	0.985452972	C	Z	CZ
29	DAIRY	599783	710193952.0388801	0.986285924	C	Z	CZ
43	DAIRY	593750	710787702.0388801	0.9871104973826165	C	Y	CY
14	DAIRY	588714	711376416.0388801	0.9879280773262328	C	X	CX
26	PRODUCE	562174.6061	711938590.6449401	0.9887088005343186	C	Y	CY
12	DAIRY	561266	712499856.6449401	0.9894882619105281	C	X	CX
30	PRODUCE	525550.8684	713025407.5133262	0.9902181236928919	C	Y	CY
15	DAIRY	506063	713531470.5133262	0.990920922	C	X	CX
19	DAIRY	485446	714016916.5133262	0.9915950875026791	C	X	CX
13	DAIRY	451445	714468361.5133262	0.9922220343353446	C	X	CX
19	PRODUCE	447151.1647	714915512.6780262	0.9928430180796134	C	Y	CY
21	DAIRY	421817	715337329.6780262	0.9934288188573703	C	Z	CZ
10	DAIRY	420185	715757514.6780262	0.9940123531857682	C	X	CX
22	CLEANING	416453	716173967.6780262	0.994590705	C	Z	CZ
16	DAIRY	409168	716583135.6780262	0.9951589390842324	C	X	CX
26	DAIRY	395192	716978327.6780262	0.9957077642405521	C	Y	CY
14	PRODUCE	384692.4311	717363020.1090862	0.9962420080602941	C	Y	CY
30	DAIRY	372169	717735189.1090862	0.9967588598933331	C	X	CX
35	PRODUCE	366857.042	718102046.1510462	0.9972683347141814	C	Y	CY
12	PRODUCE	342045.1363	718444091.2873361	0.9977433518587409	C	Y	CY
22	PRODUCE	268022.9219	718712114.2091861	0.9981155702284993	C	Z	CZ
35	DAIRY	264513	718976627.2091861	0.9984829141741601	C	X	CX
10	PRODUCE	250738.882	719227366.1	0.9988311292344298	C	Y	CY
32	DAIRY	240381	719467747.1	0.9991649597267002	C	X	CX
22	DAIRY	203463	719671210.1	0.9994475201347557	C	Z	CZ
13	PRODUCE	199522.1957	719870732.3	0.9997246077282679	C	Y	CY
32	PRODUCE	198301.447	720069033.7338899	1	C	Y	CY
